,Years with Operator,,,Years in Rank,,,Years on This Type of Tanker,,,Years on All Types of Tankers,,,Years as Watch officer/Engineer,,,Date Joined,,,English Proficiency
Oil Major,Label,"For Calculation:
Years in Service - 'Company' ",Required Value Minimum,Label,"For Calculation:
Years in Service - 'Rank' ",Required Value Minimum,Label,"For Calculation:
Years in Service - 'Tanker Type' ",Required Value Minimum,Label,"For Calculation:
Years in Service - 'All Types' ",Required Value Minimum,Label,"For Calculation:
Years in Service - 'OOW ' ",Required Value Minimum,Label,"For Calculation:
Basis Joining Date ",Required Value ,Required Value Minimum
Adnoc,"Combined aggregate for Master and C/O shall not be less than 2 years.	",Master + Chief Officer,2.0 years,"Combined aggregate for Master and C/O shall not be less than 3 years.	",Master + Chief Officer,"3.0 years	","Combined aggregate for Master and C/O shall not be less than 4 years.	",Master + Chief Officer,"4.0 years	","Combined aggregate for Master and C/O shall not be less than 8 years.	",Master + Chief Officer,"8.0 years	",,,,"A minimum of 14 days shall lapse between replacement of the Master and C/O	",Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days,"Master = Good
Chief Officer= Good	"
Adnoc,"Combined aggregate for C/E and 2/E shall not be less than 2 years	",Chief Engineer + Second Engineer,2.0 years,"Combined aggregate for C/E and 2/E shall not be less than 3 years.	",Chief Engineer + Second Engineer,"3.0 years	","Combined aggregate for C/E and 2/E shall not be less than 3 years.	",Chief Engineer + Second Engineer,"3.0 years	","Combined aggregate for C/E and 2/E shall not be less than 6 years (less emphasis).	",Chief Engineer + Second Engineer,"6.0 years	",,,,"A minimum of 14 days shall lapse between replacement of C/E and 2/E	",Chief Engineer Joining Date - Second Engineer Joining Date,"Minimum 14.0 days	",
Ampol,"Combined aggregate for Master and C/O shall not be less than 2 years.	",Master + Chief Officer,"2.0 years	","Combined aggregate for Master and C/O shall not be less than 3 years in rank	",Master + Chief Officer,"3.0 years	","Combined aggregate for Master and C/O shall not be less than 6 years.	",Master + Chief Officer,"6.0 years	",,,,,,,,,,
Ampol,"Combined aggregate for 2/O and 3/O shall not be less than 1 year	",Second Officer + Third Officer,"1.0 years	","Combined aggregate for 2/O and 3/O shall not be less than 1 years in rank	",Second Officer + Third Officer,"1.0 years	","Combined aggregate for 2/O and 3/O shall not be less than 1 year.	",Second Officer + Third Officer,"1.0 years	",,,,,,,,,,
Ampol,"Combined aggregate for C/E and 2/E shall not be less than 2 years.	",Chief Engineer + Second Engineer,"2.0 years	","Combined aggregate for C/E and 2/E shall not be less than 3 years in rank	",Chief Engineer + Second Engineer,"3.0 years	","Combined aggregate for C/E and 2/E shall not be less than 6 years.	",Chief Engineer + Second Engineer,"6.0 years	",,,,,,,,,,
Ampol,"Combined aggregate for 3/E and 4/E shall not be less than 1 year.	",Third Engineer + Fourth Engineer,"1.0 years	","Combined aggregate for 3/E and 4/E shall not be less than 1 year in rank	",Third Engineer + Fourth Engineer,"1.0 years	","Combined aggregate for 3/E and 4/E shall not be less than 1 year.	",Third Engineer + Fourth Engineer,"1.0 years	",,,,,,,,,,
ATCQAG,"Combined aggregate for Master and C/O shall not be less than 2 years.	",Master + Chief Officer,"2.0 years	","Combined aggregate for Master and C/O shall not be less than 3 years.	",Master + Chief Officer,"3.0 years	","Combined aggregate for Master and C/O shall not be less than 6 years.	",Master + Chief Officer,"6.0 years	","Combined aggregate for 2/O and 3/O shall not be less than 1.5 years.	",Second Officer + Third Officer,"1.5 years	",,,,,,,
ATCQAG,"Combined aggregate for C/E and 2/E shall not be less than 2 years.	",Chief Engineer + Second Engineer,"2.0 years	","Combined aggregate for 2/O and 3/O shall not be less than 1 year.	",Second Officer + Third Officer,"1.0 years	","Combined aggregate for C/E and 2/E shall not be less than 6 years.	",Chief Engineer + Second Engineer,"6.0 years	","Combined aggregate for 3/E and 4/E shall not be less than 1.5 years.	",Third Engineer + Fourth Engineer,"1.5 years	",,,,,,,
ATCQAG,,,,"Combined aggregate for C/E and 2/E shall not be less than 3 years.	",Chief Engineer + Second Engineer,"3.0 years	",,,,,,,,,,,,,
ATCQAG,,,,"Combined aggregate for 3/E and 4/E shall not be less than 1 year.	",Third Engineer + Fourth Engineer,"1.0 years	",,,,,,,,,,,,,
BASF,,,,"Combined experience for Master and 
C/O should be at least 3 years (sea time).",Master + Chief Officer,3.0 years,Combined experience for Master and C/O should be at least 3 years (sea time).,Master + Chief Officer,3.0 years ,,,,,,,A minimum of 7 days shall laps between replacement of Master and C/O. ,Master Joining Date - Chief Officer Joining Date,Minimum 7.0 days ,Master= Good
BASF,,,,"Combined experience for C/E and 2/E 
should be at least 3 years (sea time). ",Chief Engineer + Second Engineer,3.0 years ,Combined experience for C/E and 2/E should be at least 3 years (sea time).,Chief Engineer + Second Engineer,3.0 years ,,,,,,,A minimum of 7 days shall laps between replacement of C/E and 2/E. ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 7.0 days ,Chief Officer= Good
BASF,,,,,,,,,,,,,,,,,,,Chief Engineer = Good
BASF,,,,,,,,,,,,,,,,,,,Second Engineer = Good
BHP Billiton Petroleum,"Combined aggregate for Master and C/O shall not be less than 2 years.	",Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years. ,Master + Chief Officer,6.0 years ,Combined aggregate for 2/O and 3/O shall not be less than 1.5 years. ,Second Officer + Third Officer,1.5 years ,,,,,,,
BHP Billiton Petroleum,Combined aggregate for C/E and 2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,Combined aggregate for C/E and 2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,Aggregate of 3/E not less then 1.5 years. ,Third Engineer,1.5 years ,,,,,,,
BHP Billiton Petroleum,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,,,,
BHP Billiton Petroleum,,,,Aggregate for 3/E shall not be less than 1 year. ,Third Engineer,1.0 years ,,,,,,,,,,,,,
Borealis Polymers,,,,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,Combined aggregate for Master and C/O shall not be less than 6 years. ,Master + Chief Officer,6.0 years ,,,,,,,Master and C/O should not board at the same time. ,Master Joining Date - Chief Officer Joining Date,Minimum 1.0 days ,
Borealis Polymers,,,,Combined aggregate for C/E and 2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,,,,,,,C/E and 2/E should not board at the same time. ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 1.0 days ,
BP,Combined aggregate for Master and C/O shall not be less than 2 years. ,Master + Chief Officer,2.0 years ,Combined aggregate for Master and C/O shall not be less than 3 years. ,Master + Chief Officer,3.0 years ,,,,Combined aggregate for Master and C/O shall not be less than 6 years. ,Master + Chief Officer,6.0 years ,,,,A minimum of 14 days shall lapse between replacement of the Master and C/O ,Master Joining Date - Chief Officer Joining Date,Minimum 14.0 days ,
BP,Combined aggregate for C/E and *2/E shall not be less than 2 years. ,Chief Engineer + Second Engineer,2.0 years ,Combined aggregate for C/E and *2/E shall not be less than 3 years. ,Chief Engineer + Second Engineer,3.0 years ,,,,Combined aggregate for C/E and *2/E shall not be less than 6 years. ,Chief Engineer + Second Engineer,6.0 years ,,,,A minimum of 14 days shall lapse between replacement of C/E and 2/E ,Chief Engineer Joining Date - Second Engineer Joining Date,Minimum 14.0 days ,
BP,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,,,,Combined aggregate for 2/O and 3/O shall not be less than 1 year. ,Second Officer + Third Officer,1.0 years ,,,,A minimum of 14 days shall lapse between replacement of 2/O and 3/O ,Second Officer Joining Date - Third Officer Joining Date,Minimum 14.0 days ,
BP,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,Combined aggregate for 3/E and 4/E shall not be less than 1 year. ,Third Engineer + Fourth Engineer,1.0 years ,,,,A minimum of 14 days shall lapse between replacement of 3/E and 4/E ,Third Engineer Joining Date - Fourth Engineer Joining Date,Minimum 14.0 days ,
